,Seconds,Q_flow Laundry [kW]_model,T_sup-Laundry[°C]_model,T_ret-Laundry[°C]_model
548,1972800,0.4021622014728399,28.4,10
549,1976400,0.3177467522913556,28.4,10
550,1980000,0.12363083865063582,28.4,10
551,1983600,0.00818430058377516,28.4,10
552,1987200,0.0,28.4,10
553,1990800,0.0006899375752787754,28.4,10
554,1994400,0.0,28.4,10
555,1998000,0.0,28.4,10
556,2001600,0.0,28.4,10
557,2005200,0.0,28.4,10
558,2008800,0.022488917891695742,28.4,10
559,2012400,0.0028077069224028252,28.4,10
560,2016000,0.035428786121673744,28.4,10
561,2019600,0.027995064722027247,28.4,10
562,2023200,0.028450811284822304,28.4,10
563,2026800,0.0,28.4,10
564,2030400,0.007098331641924687,28.4,10
565,2034000,0.0,28.4,10
566,2037600,0.016983816531309082,28.4,10
567,2041200,0.0,28.4,10
568,2044800,0.021353277028609226,28.4,10
569,2048400,0.01285829440079064,28.4,10
570,2052000,0.01828195969693967,28.4,10
571,2055600,0.015964354455192186,28.4,10
572,2059200,0.010964086870338358,28.4,10
573,2062800,0.03944466490611132,28.4,10
574,2066400,0.0,28.4,10
575,2070000,0.011182682889336075,28.4,10
576,2073600,0.0,28.4,10
577,2077200,0.0,28.4,10
578,2080800,0.0009227408720023488,28.4,10
579,2084400,0.026656723721860724,28.4,10
580,2088000,0.0,28.4,10
581,2091600,0.018504864673503676,28.4,10
582,2095200,0.13324105045587378,28.4,10
583,2098800,0.32202673552438527,28.4,10
584,2102400,0.5343976480591497,28.4,10
585,2106000,0.4998116912168559,28.4,10
586,2109600,0.5133993764217117,28.4,10
587,2113200,0.49977660536339324,28.4,10
588,2116800,0.5303066932357876,28.4,10
589,2120400,0.5034865407395378,28.4,10
590,2124000,0.5038522940647141,28.4,10
591,2127600,0.5248378289575671,28.4,10
592,2131200,0.5417217710892204,28.4,10
593,2134800,0.5221038381540416,28.4,10
594,2138400,0.5299951786797361,28.4,10
595,2142000,0.4573844915783304,28.4,10
596,2145600,0.45235706089179256,28.4,10
597,2149200,0.3396890940025838,28.4,10
598,2152800,0.1517440788547768,28.4,10
599,2156400,0.0,28.4,10
600,2160000,0.017697333309464405,28.4,10
601,2163600,0.0,28.4,10
602,2167200,0.007718953991219789,28.4,10
603,2170800,0.01086592518497412,28.4,10
604,2174400,0.02521809209296031,28.4,10
605,2178000,0.0,28.4,10
606,2181600,0.1466588703822301,28.4,10
607,2185200,0.2953121811825181,28.4,10
608,2188800,0.44521517635651,28.4,10
609,2192400,0.47436287606252797,28.4,10
610,2196000,0.476314863723519,28.4,10
611,2199600,0.47092208771315497,28.4,10
612,2203200,0.4535114351013543,28.4,10
613,2206800,0.47479371682534455,28.4,10
614,2210400,0.4893154545730286,28.4,10
615,2214000,0.4704266422512647,28.4,10
616,2217600,0.4854920229400465,28.4,10
617,2221200,0.44183572877385396,28.4,10
618,2224800,0.4526967955210442,28.4,10
619,2228400,0.4805234157662307,28.4,10
620,2232000,0.4198478016382799,28.4,10
621,2235600,0.2789340023456544,28.4,10
622,2239200,0.15718355608977044,28.4,10
623,2242800,0.01445683800553336,28.4,10
624,2246400,0.0,28.4,10
625,2250000,0.014542727218077348,28.4,10
626,2253600,0.007642819300338368,28.4,10
627,2257200,0.02291233565569045,28.4,10
628,2260800,0.0,28.4,10
629,2264400,0.0026701103512765693,28.4,10
630,2268000,0.024625490759638137,28.4,10
631,2271600,0.0,28.4,10
632,2275200,0.02029124139433552,28.4,10
633,2278800,0.05821366086081968,28.4,10
634,2282400,0.01749468045471287,28.4,10
635,2286000,0.014435062699523854,28.4,10
636,2289600,0.016005477092486446,28.4,10
637,2293200,0.021076584757293418,28.4,10
638,2296800,0.0,28.4,10
639,2300400,0.0,28.4,10
640,2304000,0.0,28.4,10
641,2307600,0.02032045257281499,28.4,10
642,2311200,0.035109578237403544,28.4,10
643,2314800,0.004976973321782308,28.4,10
644,2318400,0.03183483622091589,28.4,10
645,2322000,0.057444354060744746,28.4,10
646,2325600,0.0,28.4,10
647,2329200,0.05059474116734485,28.4,10
648,2332800,0.0,28.4,10
649,2336400,0.0,28.4,10
650,2340000,0.011692267428214555,28.4,10
651,2343600,0.0,28.4,10
652,2347200,0.0,28.4,10
653,2350800,0.005969350930665384,28.4,10
654,2354400,0.1389932368356232,28.4,10
655,2358000,0.32934583679757634,28.4,10
656,2361600,0.4792213680820166,28.4,10
657,2365200,0.5267274770742517,28.4,10
658,2368800,0.48709972334744794,28.4,10
659,2372400,0.5031518788515889,28.4,10
660,2376000,0.490511160414448,28.4,10
661,2379600,0.5180549623832025,28.4,10
662,2383200,0.4904686777549688,28.4,10
663,2386800,0.4641222315202865,28.4,10
664,2390400,0.49872708752698497,28.4,10
665,2394000,0.46551368978075086,28.4,10
666,2397600,0.5071457462876404,28.4,10
667,2401200,0.4554692613290046,28.4,10
668,2404800,0.43692645484637366,28.4,10
669,2408400,0.32546704885272165,28.4,10
670,2412000,0.1593489482566395,28.4,10
671,2415600,0.010428938174175366,28.4,10
672,2419200,0.03431370274047476,28.4,10
673,2422800,0.0052193977703538,28.4,10
674,2426400,0.0,28.4,10
675,2430000,0.03503857234505801,28.4,10
676,2433600,0.030824421520648102,28.4,10
677,2437200,0.04330622715615347,28.4,10
678,2440800,0.0893346760333037,28.4,10
679,2444400,0.25900537986383426,28.4,10
680,2448000,0.4014680815048541,28.4,10
681,2451600,0.4132850455046193,28.4,10
682,2455200,0.42892302563274864,28.4,10
683,2458800,0.41268539510562535,28.4,10
684,2462400,0.47485736864660455,28.4,10
685,2466000,0.4419299979047744,28.4,10
686,2469600,0.43051724710907463,28.4,10
687,2473200,0.4088499543998907,28.4,10
688,2476800,0.4577479830139316,28.4,10
689,2480400,0.4294237429320854,28.4,10
690,2484000,0.42384241109451193,28.4,10
691,2487600,0.4167197613329681,28.4,10
692,2491200,0.37324443385206135,28.4,10
693,2494800,0.27408936863879524,28.4,10
694,2498400,0.14612629239956254,28.4,10
